1d12	预兆-异怪
1	"微粒粉末形成悬浮的“阴影” Particulate Powder forms Suspended ""Shadow"""
2	昨夜噩梦中的记忆闪回 Flashes of Memory from last Nightmare
3	音量扭曲：尖啸化为低语 Volume distortions: Screams become Whispers
4	所有文字变为奇异的朱红色符号 All Text becomes Strange Vermillion Symbols
5	闻到颜色的瞬间令人不安 Smelling Colors is disconcerting for a moment
6	金属味转为胆汁味，继而变为酸味 Metallic Taste gives way to Bile, then Sourness
7	短暂的眼中剧痛/视觉模糊/眩晕 Brief Pain behind Eyes/Visual Smears/Vertigo
8	粘滑的外膜似乎对声音有反应 Slimy Coating seems to respond to Sound
9	闪烁的绿色锥形火焰无热地燃起 Flickering Green Conical Flame Flares without heat
10	尖锐的角落或边缘引发忧虑或恐惧 Sharp Corners/Edges provoke Worry/Dread
11	头骨：颅骨上布满星形穿孔 Skull: Calvaria riddled with Star-Shaped Punctures
12	现实中的空洞如肥皂泡般破裂 Holes in Reality burst like Soap Bubbles
