1d100	物品-魔法头饰
1	吸收闪电/电力且不会对佩戴者造成伤害 Absorbs Lightning/Electricity with no Harm to the Wearer
2	总是布满灰尘，但佩戴者可以长达一周不喝水 Always Dusty, but Owner can go without Water for up to a Week
3	理发师帽：能够修剪/剪出任何发型，并可从自愿目标身上拔取牙齿 Barber Lid: Can trim/cut Hair to any style and extract Teeth from Willing Target
4	佩戴时胡须/头发长度可每日增减最多1英尺 Beard/Hair Length can be increased/decreased while Wearing up to 1 foot/day
5	佩戴者免受酸液伤害：酸液接触时转化为甜牛奶 Bearer cannot be harmed by Acid: Turns to Sweetened Milk on Contact
6	可指令性地对金银产生强磁性（最远3英尺），每周一次 Becomes Strongly Magnetic to Gold/Silver on command (up to 3 ft away) 1/week
7	曾属于一位圣徒：4/6几率每周赋予一个随机的牧师法术 Belonged to a Saint: 4-in-6 it grants one Random Cleric Spell 1/week
8	佩戴时短暂小憩（至少10分钟）每日可恢复1个生命骰的生命值 Brief Nap while Wearing (at least 10 minutes) restore 1 HD worth of HP 1/Day
9	埋于沃土中：长出2d6朵蘑菇，其菌盖为它的非魔法复制品 Buried in Fertile Soil: Sprouts 2d6 Mushrooms with Caps as Non-Magic Copies of it
10	可指令其重量与佩戴者相同（佩戴时不建议使用） Can be Commanded to Weigh as Much as it's Owner (not advisable when Worn)
11	佩戴者生存时无法摘除：禁止在100码范围内进行传送 Cannot be removed while Wearer lives: No Teleportation within 100 yards
12	随指令变换形状，但仍如坚固钢铁般提供防护 Changes Shape on Command, but still protects as if made from strong Steel
13	由挤入其中的牛奶制成的奶酪具有神奇的解除诅咒特性 Cheese made from a Cow milked into it has miraculous Curse Removing Properties
14	选择一种：鸟类、昆虫或爬行动物，每天一回合内你对所选生物不可被察觉。 Choose One: Bird, Insect, Reptile, you are imperceptible to these for 1 Turn a day
15	一簇装饰性浆果（3d12颗）固定其上：若食用，当日无需进食或饮水 Clump of Decorative Berries (3d12) affixed: If Eaten no Food/Water required that day
