1d60	活动-飞虫集群
1	落在树上，它们的重量压断了细枝 Alighting on a tree, their weight causing twigs to snap
2	嗡嗡作响，嘈杂刺耳的声音充斥所有耳朵 Buzzing cacophonously, the sound filling all ears
3	突然改变方向，仿佛受到某种指令的驱使 Changing direction suddenly, as if by some command
4	正在啃噬一匹马的皮 Chewing their way through the hide of a Horse
5	围绕着一处池塘盘旋，一名侏儒正在屏息潜水 Circling a pool, where a Gnome holds her breath
6	在空中形成一团黑暗、波动的云状物 Clouding the air in a dark, undulating mass
7	正在为一只洞穴熊的尸体建立殖民地 Colonizing the carcass of a Cave Bear
8	以其贪婪的胃口破坏果树 Damaging Fruit Trees with their rapacious appetite
9	在空中编织出复杂而同步的图案 Darning the air in intricate, synchronized patterns
10	降落在强盗正在烤制的野猪上 Descending on a Bandit's roasting Boar
11	摧毁苦行僧的食物供应 Devastating the Food Supplies of a Dervish
12	随强风飘荡，朝一处定居点移动 Drifting on a stiff breeze, toward a settlement
13	围绕着闪烁的火把飞舞 Fluttering around a flickering Torch
14	正在哥布林垃圾坑中大快朵颐 Gorging on a Goblin Garbage Pit
15	在空心原木附近盘旋，那里藏着一位魔法使用者 Hovering near a Hollow Log, where a Magic User hides
16	对突然的声响发出威胁性的嗡嗡声 Humming menacingly in response to a sudden sound
17	迁移寻找食物，已将某片区域啃食殆尽 Migrating in search of food, after stripping an area bare
18	在烟雾逐渐消散中徘徊，显得有些晕头转向 Milling about, somewhat stunned by fading Smoke
19	在浸水的衣柜内筑巢 Nesting inside a water-logged Armoire
20	困扰一位失宠的圣骑士 Plaguing a Paladin, fallen from grace
21	从一处出奇狭小的裂缝中蜂拥而出 Pouring out of a surprisingly tiny crack
22	群体为争夺配偶而发出响亮共鸣声 Resonating loudly as the throng competes for mates
23	落在盾牌上，将其抛光的光泽变得暗淡 Settling on a Shield, polished to a shine, to dull its glow
24	正在疯狂地叮咬一只巨大的蟾蜍 Stinging a frantic Giant Toad
25	沿途剥光每一株植物的茎秆 Stripping every stalk of plant life in their path
26	围绕着石棺，仿佛被其吸引 Surrounding a stone Sarcophagus, as if drawn to it
27	在喧嚣的漩涡中盘旋，堵住了一道拱门 Swirling in a vociferous vortex, blocking an archway
28	俯冲而下，在散发着恶臭的湿泥中饮水 Swooping down to drink in stinking, wet mud
29	在光秃秃的树枝间无休止地饥饿觅食 Unceasingly hungering among bare Tree branches
30	围绕着一具腐烂的双足飞龙盘旋飞舞 Whirling around a decaying Wyvern
31	猛烈地推进，碾过沿途的一切障碍 Aggressively marching over anything in their way
32	钻入一具静止的木乃伊体内 Burrowing into a motionless Mummy
33	正搬运一只死鹿 Carrying away a dead Deer
34	它们在颚中碾碎旧骨时发出咔嗒声 Chattering as they pulverize old bone in their mandibles
35	正在清理地面上每一丝碎屑 Cleaning every trace of detritus from the Floor
36	顽固地紧抓着一根垂下的绳索 Clinging doggedly to a dangling Rope
37	聚集在一位咒法师的尸体上 Crowding on a Conjurer's corpse
38	从腐烂的Rhagodessa下迅速飞出 Darting out from beneath a rotting Rhagodessa
39	填满一座被亵渎的圣水池，如同心脏般跳动 Filling a desecrated Font, beating like a Heart
40	迫使大地精猎手进行有序撤退 Forcing Hobgoblin Hunters into organized retreat
41	聚集在一群食尸鬼留下的腐尸残骸周围 Gathering in the charnel wake of a pack of Ghouls
42	正在啃咬椅子上的软垫 Gnawing through the cushions on a chair
43	在你眼前不断膨胀并增大体积 Growing and swelling in size before your very eyes
44	聚集在一处废弃的鹰身女妖巢穴之上 Huddling atop an abandoned Harpy Nest
45	入侵整个区域，除了一个由符文环绕的圆圈之外 Invading an entire area, apart from a Circle lined with Runes
46	从幽魂口中蜂拥而出 Issuing forth from the mouth of a Wight
47	争夺在巨型老鼠身上的最佳进食位置 Jostling for prime dining position on a Giant Rat
48	威胁一只被困的火甲虫 Menacing a cornered Fire Beetle
49	正啃食一只沉睡的食尸鬼的脚趾 Nibbling on the toes of a Sleeping Thoul
50	在房间里翻倒家具，随着它们蜂拥而至 Overturning furniture as they swell across a room
51	正从炽热的绿色粘液下方经过 Passing beneath a sizzling Green Slime
52	仅追逐特定信仰的个体 Pursuing only those of a particular Faith
53	从上方裂缝中无情地蜂拥而出 Relentlessly surging from a crack above
54	在油瓶点燃后四散飞逃 Scattering after a flask of Oil ignites
55	在一张巨大的石像表面停歇 Settling on the surface of a massive Stone Face
56	它们降落之处皆留下带有恶臭的污渍 Staining everywhere they land with a noxious odor
57	疯狂地发出令人发狂的刺耳鸣叫声 Stridulating wildly at a volume that is maddening
58	在一条巨蛇扭动的身体上密集蠕动 Teeming on the flailing body of a Giant Snake
59	围绕着一位拥有复眼的德鲁伊密集飞舞 Thronging around a Druid with faceted Eyes
60	以呼应与回应的方式向同伴吹哨发出警告 Whistling a warning in call-and-response fashion to their flock
