1d12	预兆-异界生物
1	那是硫磺、香薰还是酸牛奶的气味？ Is that Brimstone or Incense/Perfume or Sour Milk?
2	迅速消逝的符文在螺旋中飘舞 Rapidly fading Sigils flitting in Spirals
3	那些飘忽不定、若隐若现的恐惧或希望之感 Those Fickle and Faint Feelings of Dread or Hope
4	环境声音变得有节奏或刺耳地不和谐 Ambient Sounds become Rhythmic or jarringly Atonal
5	植物呈现显著的一致性/异常生长 Conspicuous Uniformity/Aberrant Growth in Plants
6	散落着神圣符号的细小羊皮纸碎片 Tiny Tatters of Holy Symbol-laden Parchment
7	异常明亮或被阴影完全覆盖的区域 Uncannily well-lit/shadow blanketed area
8	石头、沙子或草叶旋转并形成巨大的圆圈 Stones/Sand/Grass swirled and shaped into massive Circles
9	预兆性的青蛙/鱼/花瓣之雨 Portentous Hail of Frogs/Fish/Flower Blossoms
10	无生命物体因喜悦而哭泣或高声咒骂 Inanimate Objects Weeping with Joy or Shouting Invectives
11	奇异的双蹄足印或一片完美无瑕的羽毛 Oddly bipedal cloven prints or a perfect Feather
12	异常动物行为：鱼会飞/鸟会游泳/有些会说话 Unusual Animal Behavior: Fish Fly/Birds Swim/Some Talk
