1d30	活动-虎甲虫
1	被柱子或树干激怒，持续试图将其压碎 Antagonized by a column/tree trunk, continue to try and crush it
2	在休息时勉强容忍彼此的存在 Begrudgingly tolerating each other as they rest
3	以惊人的速度追逐一只蟹蛛 Chasing down a Crab Spider with spectacular speed
4	巨大的颚部发出咔嗒声，足以将食人魔拦腰截断 Clicking huge mandibles, could bisect an Ogre at the torso
5	颈上套着沉重的铁链，但警觉且愤怒 Collared with heavy iron chains, but alert and angry
6	正在吞噬一只巨大的毛毛虫，不禁让人联想到它未来的蝴蝶形态 Devouring a huge Caterpillar, can't help but imagine the Butterfly
7	快速飞行者，伴随着震耳欲聋的嗡嗡声 Fast fliers, accompanied by a deafening buzzing sound
8	色彩斑斓的条纹，甲壳有时被用作盾牌 Garishly striped, shells sometimes used as shields
9	正在吞食一个不幸的哥布林 Gobbling an unlucky Goblin
10	受当地牧羊人憎恨，它们已对羊肉情有独钟 Hated by local shepherds, they've developed a taste for mutton
11	无视并忽略了一群巡逻的骷髅 Ignoring and ignored by a group of Skeletons patrolling
12	剧烈抽搐，试图摆脱一只巨型蜈蚣的紧缠与蜇刺 Jerking violently to escape a constricting Giant Centipede's sting
13	在异常均匀的凹坑中产下长而粘稠的卵 Laying long, sticky eggs in oddly uniform divots
14	守护配偶以驱赶其他追求者 Mate-guarding to discourage other suitors
15	对幼虫巢穴浑然不觉：尖牙蛴螬伏击非甲虫类猎物 Oblivious to larval burrows: Fanged Grubs ambush non-Beetle prey
16	偶尔被黑暗居民用来进行比赛娱乐 Occasionally raced for sport by denizens of the dark
17	炫耀着一根抽搐的树人肢体游行 Parading around a twitching Treant Limb
18	被骡子迅猛一踢后踉跄后退，但仍步步逼近 Reeling from a swift Mule kick, but closing in
19	正在将一只较弱的甲虫撕成碎片 Ripping a weaker Beetle limb from limb
20	正慌乱地逃离一只饥饿的虎蛛 Scrambling to escape from a hungry Rhagodessa
21	闪烁着彩虹般的绿色光泽，可能反射某些魔法 Shimmering iridescent green, might reflect some magics
22	在频繁有行军蚁出没的小径上设伏 Staking out a path frequented by Driver Ants
23	静止不动，用凸出的眼柄凝视着阴影 Stock still and peering at shadows with bulbous eye stalks
24	被驯化为守卫甲虫，附近有侏儒矿工在勘探 Tamed as Guard Beetles, Gnomish miners prospecting nearby
25	被一只防御性蜷缩的巨型球潮虫所阻挠 Thwarted by a defensively curled Giant Pill Bug
26	与一只惊恐的穴居人展开拔河比赛 Tug-of-war over a terror-stricken Troglodyte
27	面对腐尸爬行者挥舞的触须毫无惧色 Undeterred by the flailing tentacles of a Carcass Crawler
28	行为怪异，试图交流/书写：被变形的牧师 Very odd, trying to communicate/writing: polymorphed Cleric
29	贪婪地吞食盗蝇幼虫 Voraciously gorging on Robber Fly larvae
30	扭动一名绝望矮人那幸运地穿着护腿的腿 Wrenching the fortunately greaved leg of a desperate Dwarf
