1d100	活动-幽影
1	加剧一个本就阴森的区域，使其笼罩在更深的阴郁之中 Accentuating an already eerie area, clotting it with gloom
2	通过吸取驱魔师的生命来增加同类数量 Adding to their numbers by draining an Exorcist
3	欣喜若狂地消灭一个颤抖的火把持者 Annihilating a shivering Torchbearer with glee
4	模仿一个逃跑的虚弱强盗，以此取乐 Aping a fleeing, debilitated Bandit for fun and amusement
5	躲避灵媒魔法照明的耀眼光芒 Avoiding the brilliant glow of a Medium's Magical illumination
6	用异常细长、折射的爪子进行召唤 Beckoning with disturbingly long, refracted claws
7	使一只熊地精麻木，脸色苍白如纸 Benumbing a Bugbear, white as a sheet
8	将地板一分为二，从一侧延伸至另一侧 Bisecting the floor, stretching from one side to the other
9	遮蔽一小堆硬币的微弱光芒 Blotting out the gimmer of small pile of coins
10	模糊通常锐利的边缘，如同营火上的朦胧雾气 Blurring usually sharp edges, like the haze above a campfire
11	在光线的边缘沉思，准备猛扑 Brooding at the light's edge, preparing to spring
12	带着邪恶的笑容轻抚一位惊恐的盗墓者的脸颊 Brushing a terrified Tomb Robbers cheek with an evil grin
13	以同步的步调追逐一只毫无察觉的食人魔 Chasing an oblivious Ogre with measured, matching movements
14	在其偏爱的出没地周围使空气变得寒冷 Chilling the air around their favored haunt
15	绝望地紧贴椅子背面，随着火炬光芒扫过 Clinging desperately to back of a chair, as Torchlight sweeps
16	用无法穿透的黑暗笼罩着满是骸骨的壁龛 Clouding a bone-filled alcove with their impenetrable murk
17	在石像鬼形状雕像翅膀的阴影中凝聚成形 Coalescing in the shade of a Gargoyle-shaped Statue's wings
18	模仿空眼僵尸蹒跚的步伐 Copying the lurching gate of an empty-eyed Zombie
19	蜷缩在废弃壁炉的炭灰中 Cowering in the charcoal dust of a disused Fireplace
20	在寂静的黑暗中悄然穿过尖叫菇群落 Creeping through a colony of Shrieker in quiet darkness
21	蜷缩在一张塞满的鳄鱼皮扶手椅后面 Crouching behind an overstuffed Alligator Armchair
22	在拐角处弯曲，几乎痛苦地扭曲着 Curving around a corner, in gnarling almost agonizing twists
23	随着摇曳烛光的无声音乐，在天花板上翩翩起舞 Dancing across ceiling to the silent music of a flickering candle
24	斑驳光影中增强伪装，无声地皱眉 Dappling to enhance their disguise, wincing silently
25	使门口变暗，装饰着天使般的孩童 Darkening a doorway, decorated with Angelic children
26	有策略地占据位置，故意封锁所有出口 Deliberately blocking all exits with strategic positions
27	从他们跟踪的肥胖、病弱的修士身上脱离 Detaching from the fat, ailing Friar they're following
28	逐个吸取一群哥布林的活力 Draining the vitality from a group of Goblins, one at a time
29	遮蔽重要线索，将其笼罩在阴影中 Eclipsing an important clue, by shrouding it in shade
30	环绕着一个香炉，在中央虚弱地冒烟 Encircling a censer, smoking anemically in the center
31	侵蚀灵媒闪耀银环的边缘 Encroaching the edge of a Medium's shimmering Silver Circle
32	削弱一位英勇的老兵，坚守阵地而盟友纷纷逃离 Enervating a valiant Veteran, standing her ground as allies flee
33	将一只惊恐的豺狼人吞没在阴影的苦难中 Engulfing a terrified Gnoll in umbral misery
34	疯狂大笑地熄灭侏儒的最后一根火柴 Extinguishing a Gnome's last lucifer with a maniacal laugh
35	随着一个提着灯笼的活雕像蹒跚而过，逐渐从视线中消失 Fading from view as a Lantern lugging Living Statue shuffles past
36	轻轻落在一小堆偷来的儿童玩具上 Falling lightly on a small pile of purloined children's toys
37	与一盏闪烁的油灯完美同步地摇曳 Flickering in perfect time to a sputtering Oil Lamp
38	在狰狞獠牙的雕像表面快速掠过 Flitting across the face of a gruesomely tusked Bust
39	吓唬一位饥饿的战士，让他以为自己产生了幻觉 Frightening a famished Fighter, who thinks he's hallucinating
40	将幽暗的阴影聚集在一起，如同水银般流动 Gathering blots of tenebrous gloom together like Quicksilver
41	在它们投射的区域产生轻微的寒意和霜冻 Generating a slight chill and rime on areas they cast
42	与一只狡猾如猫的扒手并肩滑行 Gliding alongside a crafty, catlike Cutpurse
43	紧跟在兽人脚后跟 Hanging onto the heels of a Hobgoblin
44	在供奉暮色之神的圣坛中徘徊 Haunting a small Shrine to the Deity of Crepuscular Dusk
45	当圣武士拔出闪耀的双手剑时发出嘶嘶声 Hissing as a Paladin draws a glowing Two-Handed Sword
46	在废弃的牛眼提灯光束外徘徊 Hovering just outside a beam from an abandoned Bullseye Lantern
47	完美模仿一只在上方飞舞的巨型蝙蝠 Impeccably mimicking a fluttering Giant Bat flying above
48	悄无声息地逼近毫无察觉的兽人 Inching silently toward an unsuspecting Orc
49	在召唤仪式出错时侵入此现实 Intruding into this reality during a Summoning gone awry
50	由于被花饰环绕的壁灯，在房间内锯齿状地交叉穿行 Jaggedly crisscrossing the room due to a filigree girded Sconce
51	欢愉地削弱一个矮人，使其无法再握住他的战锤 Joyously debilitating a Dwarf, can no longer hold his Hammer
52	狡黠地潜行，模仿商人的动作 Knavishly slinking, mirroring the movements of a Merchant
53	拉长并扭曲，充满整个门厅 Lengthening and distorting, filling an entire foyer
54	徘徊在一位死去的苦行僧旁，等待迎接新朋友 Lingering beside a dead Dervish, waiting to greet a new friend
55	在艺术家眼中，因光线显得异常扭曲 Looking unnaturally skewed to any Artists' eye, given the light
56	在一座装饰华丽、勉强运转的喷泉附近徘徊 Looming near an ornate, barely functioning Fountain
57	潜伏在蝇虫滋生的肉块下一片浑浊的水池中 Lurking in a pool of murkiness below a fly-infested slab of Meat
58	因幻术师失误而实体化 Materializing due to an Illusionist's Mishap
59	融合/扭曲成美杜莎影子的完美复制品 Melding/contorting into a spitting image of a Medusa's shadow
60	恐吓一群涉世未深的探险青年，远超出他们的能力范围 Menacing some legend-tripping Youths, far out of their depth
61	随着门扇开启，与转瞬即逝的同伴融为一体 Merging with their fleeting fellows as a door swings open
62	嘲笑邪教徒干涉未被理解的力量 Mocking a Cultist for meddling in misunderstood forces
63	对着由雕像铸成的哑巴同伴低声细语 Murmuring to a mute companion cast from a Statue
64	阴险地重新出现在一位过于自信的牧师身后 Nefariously reappearing behind an overconfident Cleric
65	发出恶魔般的窃笑……似乎是它们唯一能发出的声音 Nickering diabolically…the only sound they seem to make
66	无声无息地包裹住一只无力的蜥蜴人 Noiselessly enveloping a limp Lizard Man
67	掩盖陷阱中略显明显的触发机关 Obscuring the somewhat obvious trigger to a trap
68	压倒一只枭熊，将其加入二维的珍奇动物收藏 Overpowering an Owlbear to add to a 2-dimensional menagerie
69	完美模仿一个偏执的搬运工 Perfectly pantomiming a paranoid Porter
70	聚集成墨渍状，分享周围环境的秘密 Pooling in an inky blot to share secrets about their surroundings
71	投影放大，超乎寻常，依附于一幅剥落的壁画上 Projected, larger than life, clinging to a crumbling fresco
72	在整齐堆放的及踝高骨堆间潜行 Prowling amid ankle-high, neatly stacked piles of bones
73	明显颤抖，期待着下一个受害者 Quivering perceptibly in anticipation of their next victim
74	贪婪地吸取一名侦察兵的体力 Rapaciously sapping the Strength from a Scout
75	从门下缩回，寻找猎物 Receding under a door in search of prey
76	狂战士点燃防护篝火时，阴影畏惧退缩 Recoiling as Berserkers light a protective Bonfire
77	在发现狗头人殖民地后无情地扩张 Ruthlessly propagating after uncovering a Kobold Colony
78	在祭坛上勾勒出一个咧嘴笑的金色偶像轮廓，理想的伏击地点 Silhouetting a Grinning Gold Idol atop an altar, an ideal ambush
79	沿着墙壁潜行，宛如一道活生生的焦痕 Skulking along the wall like an animate scorch mark
80	沿着石坡斜向下，远离光线 Slanting down a stone ramp away from the light
81	在长凳般的座位下方蜿蜒滑行 Slithering along the underside of big, bench-like pews
82	边缘轻微模糊，短暂回忆起前世生活 Smudging slightly at the edges, briefly reminded of former lives
83	彼此嬉戏打闹，进行拳击般的较量 Sparring playfully with each other, literally boxing
84	在切割玻璃王座上蔓延开来 Spreading across a cut-glass Throne
85	从咬紧牙关的野蛮人那里窃取力量 Stealing Strength from a lip-biting Barbarian
86	伸展成不可思议的细长形状，以触及蚊蝠的栖息处 Stretching to impossibly spindly shapes, to reach a Stirge roost
87	叠加在雕刻石棺的表面 Superimposing on the surface of a sculpted Sarcophagus
88	吞食半身人的小影子，准备发动攻击 Swallowing the small shadow of a Halfling, preparing to strike
89	使银镜表面略微变色 Tinting the surface of a Silvered Mirror slightly
90	蹑手蹑脚地跟在食尸鬼后面 Tiptoeing behind a Thoul
91	折磨一个惊恐的商人 Tormenting a terrified Trader
92	高耸于一个肌肉发达的巨魔之上，拥有细长且善于抓握的手 Towering over a sinewy Troll with elongated, grasping hands
93	尾随穴居人，等待他们的发光真菌火炬逐渐熄灭 Trailing Troglodytes, waiting for their glowing Fungal Torches to fade
