1d30	活动-普通蝙蝠
1	用粘性唾液将硬币粘在天花板表面 Attaching coins to the surface of the ceiling with adhesive spittle
2	被光线吸引且出奇地易燃 Attracted to light and surprisingly flammable
3	倒刺蝙蝠：毛发下覆盖着尖锐的刺，切勿抓取！ Barbed Bats: Covered in sharp spines beneath their fur, don't grab!
4	祝福之蝠：毛皮上的斑块形似神圣符号 Blessing Bats: Patches on fur resemble Holy Symbols
5	花头蝙蝠：倒挂时散发出甜美气息，吸引昆虫前来 Blossom Headed: Hangs with sweet breath, insects come to them
6	盗贼蝙蝠：翅膀骨骼是绝佳的开锁工具 Burglar Bats: Wing bones make excellent lockpicks
7	覆盖着白色粉尘，实为真菌僵尸 Covered in white dust, fungal zombies really
8	这些蝙蝠与熊地精有着远亲关系，飞行时异常寂静无声 Distantly related to Bugbears, these bats are eerily silent
9	被矮人的体温吸引，发出可爱的声音/频繁蹭蹭 Drawn to Dwarfs for warmth, make adorable sounds/nuzzle a lot
10	由于某种怪癖，能够与地精交谈，但极其喋喋不休且惹人厌烦 Due to a quirk, can speak to Gnomes, but are very chatty/annoying
11	回声定位可能导致半身人或侏儒出现无害的鼻血 Echolocation can cause harmless nosebleeds in Halflings/Gnomes
12	不断排泄，它们的粪便灼烧眼睛和喉咙 Excreting constantly, their droppings burn the eyes and throat
13	狐头果蝠，向入侵者投掷黏腻的腐烂水果 Fox headed frugivores, fling sticky rotten fruit at interlopers
14	若被消灭或驱离，当地作物将遭受疱蝗侵袭 If exterminated or displaced, local crops will fall to Blister Locusts
15	若被跟踪，可能会揭示一条意想不到的离开该区域的路径 If followed may reveal a surprising route out of the area
16	对控制尖啸者数量不可或缺 Indispensable for keeping the Shrieker population down
17	已知会在壁龛中储存尖锐石块，用以投掷入侵者 Known to cache sharp stones in niches to drop on invaders
18	作为出色的魔宠，传闻能嗅出魔法物品的气息 Make excellent familiars, rumored to smell magical items
19	死灵法师的伙伴：蝙蝠群能在5轮内将尸体啃食至白骨 Necromancer's Friend: swarm can strip corpse to bone in 5 turns
20	黏液饮者：对大多数常见黏液具有奇特的免疫力 Ooze Drinkers: Strangely immune to most common oozes
21	因其厚实、黑色、能抵抗黑暗视觉的皮毛而备受珍视 Prized for their thick, black, Darkvision resistant fur
22	狂犬病发作，口吐白沫的狂热症状 Riven with rabies, the Foaming Fever
23	经过精灵选择性培育作为信使，每只蝙蝠能学会一个单词 Selectively Elf-bred as messengers, can learn 1 word each
24	作为正宗吸血鬼的哨兵，它们向主人汇报情况 Sentries for a bona-fide Vampire, they report to their master
25	作为类似尼安德特人的洞穴小精灵的坐骑 Serve as mounts for Neanderthal like Cave Pixies
26	噪音如此之大，该地区的多数居民都避而远之 So noisy, most denizens of the area avoid this place
27	在睡眠时呈现出奇异的生物发光现象（暗淡的橙色） Strangely bioluminescent (dull orange) when they sleep
28	出人意料的美味，许多探险者因此免于饿死 Surprisingly delicious, many explorers saved from starving
29	它们的粪便因炼金术用途而备受追捧 Their guano is in high demand for alchemical purposes
30	由于奇异的魔法事故，这些蝙蝠长出了蝎子的尾巴 Through strange magical mishap, these bats have Scorpion tails
