1d20	活动-野马
1	笨拙地在频繁出现的土拨鼠洞间攀爬 Awkwardly scrambling among frequent Gopher holes
2	正在咀嚼多刺的肉质植物以获取至关重要的水分 Chewing on a spiny succulent for crucial moisture
3	与天马杂交，体型娇小，带有退化的翅膀 Crossbred with Pegasi, tiny, vestigial wings
4	为了争夺主导权，两匹雄性马激烈搏斗 Dueling for dominance, two Males fight fiercely
5	甩动浓密的尾巴驱赶苍蝇 Flicking their thick tales to frighten away Flies
6	在风拂过的草原上平静地吃草 Grazing peacefully on a windswept Prairie
7	在生机勃勃的高草丛中欢快地嬉戏 Joyfully cavorting among tall blades of vibrant grass
8	正在踢击一条靠得太近的岩蟒 Kicking at a Rock Python that slithered to close
9	因腿部伤口愈合不良而跛行 Limping from a badly healed leg wound
10	因看到蜥蜴人偷猎者而惊慌失措 Panicking at the sight of Lizard Men Poachers
11	竖起耳朵聆听远处隆隆的雷声 Perking their ears at a distant rumble of Thunder
12	围成一圈保护正在产驹的母马 Protecting a foaling Mare by standing in a circle
13	避开持套索的当地人，显得警惕不安 Shying away from Lasso bearing locals, wary
14	欢快地喷着鼻息，嬉戏跳跃 Heartily snorting as they romp and caper
15	被头顶的巨鹏影子惊吓到 Spooked by the shadow of a Roc overhead
16	被大型猫科动物袭击后，马群集体狂奔 Stampeding as a herd after an attack by a Big Cat
17	践踏散落在古老战场上的骸骨 Trampling over the bones littering an ancient battlefield
18	正前往附近的水源地，口渴且紧张不安 Trekking to a nearby watering hole, thirsty and nervous
19	小跑着并甩动它们竖起的鬃毛 Trotting and shaking their bristling manes
20	马群惬意地嘶鸣着，用牙齿修剪着开花的灌木丛 Whickering contentedly as their teeth clip flowering shrubs
